名称,品牌,商圈,P,竞争压力,own_S,竞品数,P_anchor
喜茶(杭州湖滨in77E区店),喜茶,杭州湖滨in77,0.6928,100,2.0,15,0.5299
LELECHA乐乐茶(杭州湖滨in77店),乐乐茶,杭州湖滨in77,0.7212,100,1.6,16,0.6179
CoCo都可(工联大厦店),CoCo,杭州湖滨in77,0.2788,42,1.8,20,0.1768
茉莉奶白(杭州湖滨88店),茉莉奶白,杭州湖滨in77,0.3312,50,1.5,20,0.3953
麒麟大口茶(杭州首店),麒麟大口茶,杭州湖滨in77,0.6882,100,1.3,15,0.6293
裕莲茶楼(杭州湖滨in77C3区店),裕莲茶楼,杭州湖滨in77,0.7226,100,1.5,15,0.6346
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),爷爷不泡茶,杭州湖滨in77,0.2905,44,2.0,20,0.17
喜茶(杭州湖滨in77B区店),喜茶,杭州湖滨in77,0.2668,40,2.0,20,0.2224
闲吉·好茶自然香(杭州湖滨in77B区店),闲吉,杭州湖滨in77,0.2002,30,1.1,20,0.1854
裕莲茶楼(杭州湖滨in77B区店),裕莲茶楼,杭州湖滨in77,0.2238,34,1.5,20,0.2127
沪上阿姨·精选茶饮(杭州工联CC店),沪上阿姨,杭州湖滨in77,0.4318,65,1.8,19,0.2968
LINLEE·手打柠檬茶(湖滨工联CC店),LINLEE,杭州湖滨in77,0.4047,61,1.5,20,0.3118
CHAGEE霸王茶姬(上城工联CC店),霸王茶姬,杭州湖滨in77,0.4632,69,2.0,20,0.3014
本就茶饮,个体/杂牌,杭州湖滨in77,0.686,100,1.0,12,0.686
周四晚不止碰到茶(湖滨店),周四晚,杭州湖滨in77,0.2734,41,1.6,20,0.2738
CoCo都可(工联CC店),CoCo,杭州湖滨in77,0.4997,75,1.8,19,0.3569
鲜榨果汁,个体/杂牌,杭州湖滨in77,0.4347,65,1.0,19,0.4347
蜜雪冰城(学士路店),蜜雪冰城,杭州湖滨in77,0.4163,62,2.5,20,0.4986
蜜雪冰城(西湖好吃街店),蜜雪冰城,杭州湖滨in77,0.4881,73,2.5,20,0.2761
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),蜜雪冰城,杭州湖滨in77,0.9777,100,2.5,3,0.9461
喝喝茶,个体/杂牌,杭州湖滨in77,0.8315,100,1.0,9,0.8315
柠好鸭·手打柠檬茶(湖滨店),柠好鸭,杭州湖滨in77,0.669,100,1.2,20,0.6274
蜜雪冰城(涌金广场店),蜜雪冰城,杭州湖滨in77,0.9569,100,2.5,6,0.8987
熹子茶馆(杭州湖滨店),个体/杂牌,杭州湖滨in77,0.6963,100,1.0,19,0.6963
蜜雪冰城(中山中路362号店),蜜雪冰城,杭州湖滨in77,1.0,75,2.5,0,1.0
沪上阿姨·精选茶饮(杭州中山中路店),沪上阿姨,杭州湖滨in77,0.9952,100,1.8,1,0.9914
悦小颜鲜竹奶茶店,个体/杂牌,杭州湖滨in77,0.9454,100,1.0,1,0.9454
手打柠檬茶,个体/杂牌,杭州湖滨in77,0.9106,100,1.0,4,0.9106
angtea艾熟茶(杭州嘉里中心店),angtea艾熟茶,杭州湖滨in77,0.7123,100,1.2,10,0.6735
柠檬向右(杭州湖滨88店)(暂停营业),个体/杂牌,杭州湖滨in77,0.3146,47,1.0,20,0.3146
CoCo都可(海宁银泰店),CoCo,海宁银泰商圈,0.6193,93,1.8,6,0.4747
李若桃·手作酸奶铺(嘉兴海宁银泰城店),李若桃,海宁银泰商圈,0.5726,86,1.4,6,0.489
蜜雪冰城(银泰城负一楼店),蜜雪冰城,海宁银泰商圈,0.6631,99,2.5,6,0.4405
茉莉奶白(嘉兴海宁银泰城店),茉莉奶白,海宁银泰商圈,0.4995,75,1.5,6,0.3995
麦记牛奶(海宁银泰店),麦记牛奶,海宁银泰商圈,0.3236,49,1.4,6,0.3959
Tamkoko泰柯茶园(海宁银泰店),Tamkoko泰柯茶园,海宁银泰商圈,0.2911,44,1.2,6,0.255
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),沪上阿姨,海宁银泰商圈,0.441,66,1.8,6,0.3048
茶百道(海宁银泰百货店),茶百道,海宁银泰商圈,0.3613,54,1.8,6,0.4198
OT另茶(海宁银泰城店),OT另茶,海宁银泰商圈,0.3803,57,1.4,6,0.3069
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),煲珠公,海宁银泰商圈,0.4069,61,1.4,6,0.3288
茶理宜世(海宁银泰店),茶理宜世,海宁银泰商圈,0.407,61,1.5,6,0.3139
CHAGEE霸王茶姬(海宁银泰店),霸王茶姬,海宁银泰商圈,0.5974,90,2.0,6,0.4259
喜茶(海宁银泰城店),喜茶,海宁银泰商圈,0.6168,93,2.0,6,0.446
蜜雪冰城(银泰店),蜜雪冰城,海宁银泰商圈,0.5027,75,2.5,6,0.2879
渝品燕鲜炖热饮,个体/杂牌,海宁银泰商圈,0.9626,100,1.0,3,0.9626
茶百道(华润店),茶百道,海宁银泰商圈,1.0,75,1.8,0,1.0
LELECHA乐乐茶(嘉兴海宁映运汇店),乐乐茶,海宁银泰商圈,1.0,75,1.6,0,1.0
