名称,品牌,商圈,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),沪上阿姨,海宁银泰商圈,1.8,4.4,0.4513,1.986,2.053,0.9676,
茶百道(海宁银泰百货店),茶百道,海宁银泰商圈,1.8,2.8,0.8926,2.499,2.053,,Y
OT另茶(海宁银泰城店),OT另茶,海宁银泰商圈,1.4,4.4,0.3881,1.708,2.053,0.8322,
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),煲珠公,海宁银泰商圈,1.4,4.4,0.4816,2.119,2.053,1.0324,
茶理宜世(海宁银泰店),茶理宜世,海宁银泰商圈,1.5,4.4,0.5621,2.473,2.053,1.2049,
CHAGEE霸王茶姬(海宁银泰店),霸王茶姬,海宁银泰商圈,2.0,5.2,0.5795,3.013,2.053,1.468,
喜茶(海宁银泰城店),喜茶,海宁银泰商圈,2.0,5.2,0.6176,3.212,2.053,1.5649,
蜜雪冰城(银泰店),蜜雪冰城,海宁银泰商圈,2.5,3.6,0.5179,1.864,2.053,0.9082,
渝品燕鲜炖热饮,个体/杂牌,海宁银泰商圈,1.0,1.6,1.0,1.6,2.053,,Y
茶百道(华润店),茶百道,海宁银泰商圈,1.8,0.0,1.0,0.0,2.053,,Y
LELECHA乐乐茶(嘉兴海宁映运汇店),乐乐茶,海宁银泰商圈,1.6,0.0,1.0,0.0,2.053,,Y
