商圈,名称,经度,纬度,外卖月售,品牌,吸引力系数,地址
杭州湖滨in77,裕莲茶楼(杭州湖滨in77B区店),120.163452,30.255186,,个体/杂牌,,延安路255号
杭州湖滨in77,沪上阿姨·精选茶饮(杭州工联CC店),120.164614,30.255089,,沪上阿姨,,湖滨街道延安路292号地下二层商业B231
杭州湖滨in77,LINLEE·手打柠檬茶(湖滨工联CC店),120.164598,30.255239,,LINLEE,,延安路292号工联CC负二层B226号铺
杭州湖滨in77,CHAGEE霸王茶姬(上城工联CC店),120.164475,30.255275,,霸王茶姬,,工联CC北角B2(龙翔桥地铁站A口旁)
杭州湖滨in77,本就茶饮,120.165293,30.250675,,个体/杂牌,,吴山路与解放路交叉口东北20米
杭州湖滨in77,周四晚不止碰到茶(湖滨店),120.163177,30.255428,,个体/杂牌,,学士路57号(龙翔桥地铁站B口步行110米)
杭州湖滨in77,CoCo都可(工联CC店),120.16463,30.255643,,CoCo,,学士路33-1号
杭州湖滨in77,鲜榨果汁,120.161823,30.255562,,个体/杂牌,,劝业里小区西南门旁(龙翔桥地铁站B口步行250米)
杭州湖滨in77,蜜雪冰城(学士路店),120.164237,30.256396,,蜜雪冰城,,湖滨街道学士路35号(龙翔桥地铁站A口步行110米)
杭州湖滨in77,蜜雪冰城(西湖好吃街店),120.164225,30.256494,,蜜雪冰城,,延安路298号龙翔大厦F1层
杭州湖滨in77,蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),120.160474,30.249563,,蜜雪冰城,,南山路185号(大华饭店北侧)
杭州湖滨in77,喝喝茶,120.168682,30.253892,,个体/杂牌,,平海路27号杭州工会大楼
杭州湖滨in77,柠好鸭·手打柠檬茶(湖滨店),120.165085,30.257644,,个体/杂牌,,菩提寺路10号(龙翔桥地铁站A口步行320米)
杭州湖滨in77,蜜雪冰城(涌金广场店),120.165532,30.247484,,蜜雪冰城,,湖滨街道开元路47号101室
杭州湖滨in77,熹子茶馆(杭州湖滨店),120.159825,30.257375,,个体/杂牌,,长生路58号西湖国贸中心F2层
杭州湖滨in77,蜜雪冰城(中山中路362号店),120.170353,30.252189,,蜜雪冰城,,中山中路362号
杭州湖滨in77,沪上阿姨·精选茶饮(杭州中山中路店),120.170362,30.251858,,沪上阿姨,,中山中路350号
杭州湖滨in77,悦小颜鲜竹奶茶店,120.15931,30.248109,,个体/杂牌,,南山路与开元路交叉口西160米
杭州湖滨in77,手打柠檬茶,120.157925,30.257175,,个体/杂牌,,杭州西湖风景名胜区-湖滨公园(西北角)
杭州湖滨in77,angtea艾熟茶(杭州嘉里中心店),120.162458,30.25981,,个体/杂牌,,延安路385号杭州嘉里中心B1层
杭州湖滨in77,柠檬向右(杭州湖滨88店)(暂停营业),120.162372,30.254676,,个体/杂牌,,平海路124号湖滨88购物中心负一层B1-13-15号B1层柒喜街美食市集柠檬向右门店
海宁银泰商圈,CoCo都可(海宁银泰店),120.693947,30.50045,,CoCo,,海洲街道海昌南路365号海宁银泰城四楼4F-LS-05号商铺
海宁银泰商圈,李若桃·手作酸奶铺(嘉兴海宁银泰城店),120.693994,30.500465,,个体/杂牌,,海洲街道海昌南路365号海宁银泰城3楼320-A-4商铺
海宁银泰商圈,蜜雪冰城(银泰城负一楼店),120.694125,30.500175,,蜜雪冰城,,海洲街道海昌南路365号B1层、B2层ZL
海宁银泰商圈,茉莉奶白(嘉兴海宁银泰城店),120.693373,30.500435,,茉莉奶白,,海昌南路363号银泰城F1层
海宁银泰商圈,麦记牛奶(海宁银泰店),120.693426,30.500188,,个体/杂牌,,海昌南路365号银泰城三楼新华书店对面
海宁银泰商圈,Tamkoko泰柯茶园(海宁银泰店),120.693437,30.500093,,个体/杂牌,,海昌路365号
海宁银泰商圈,沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),120.693275,30.500125,,沪上阿姨,,海洲街道海昌南路362号银泰城四楼
海宁银泰商圈,茶百道(海宁银泰百货店),120.693825,30.499775,,茶百道,,海洲街道海昌南路365号301室3076
海宁银泰商圈,OT另茶(海宁银泰城店),120.693262,30.500102,,个体/杂牌,,海宁银泰城3层321-3
海宁银泰商圈,煲珠公·老红糖珍珠奶茶(海宁银泰百货店),120.693211,30.499867,,煲珠公,,海宁银泰百货商场3楼321-1号海底捞斜对面
海宁银泰商圈,茶理宜世(海宁银泰店),120.693575,30.499325,,个体/杂牌,,银泰城4F850室(电影院隔壁)
海宁银泰商圈,CHAGEE霸王茶姬(海宁银泰店),120.692876,30.499485,,霸王茶姬,,海洲街道海昌南路365号银泰城1层101室139-A号商铺
海宁银泰商圈,喜茶(海宁银泰城店),120.692812,30.499479,,喜茶,,海昌南路360号
海宁银泰商圈,蜜雪冰城(银泰店),120.694149,30.498543,,蜜雪冰城,,新苑路189号海宁金泰城F1层
海宁银泰商圈,渝品燕鲜炖热饮,120.696101,30.503608,,个体/杂牌,,钱江东路64号尚公馆
海宁银泰商圈,茶百道(华润店),120.69252,30.51008,,茶百道,,海洲街道海昌南路229号
海宁银泰商圈,LELECHA乐乐茶(嘉兴海宁映运汇店),120.692127,30.511757,,乐乐茶,,海洲街道海州东路4号一层
海宁银泰商圈,光合作用茶空间,120.679775,30.505975,,个体/杂牌,,海洲街道学林街62号海宁图书馆中庭内(自主申报)
