名称,商圈,S,D,P,D×P,P_blind
蜜雪冰城(中山中路362号店),杭州湖滨in77,2.5,5.6,1.0,5.6,1.0
沪上阿姨·精选茶饮(杭州中山中路店),杭州湖滨in77,1.8,5.6,1.0,5.6,1.0
悦小颜鲜竹奶茶店,杭州湖滨in77,1.0,0.2,0.9587,0.19,0.9587
手打柠檬茶,杭州湖滨in77,1.0,1.8,0.9346,1.68,0.9346
angtea艾熟茶(杭州嘉里中心店),杭州湖滨in77,1.2,5.8,0.8428,4.89,0.8171
柠檬向右(杭州湖滨88店)(暂停营业),杭州湖滨in77,1.0,6.6,0.3601,2.38,0.3601
CoCo都可(海宁银泰店),海宁银泰商圈,1.8,2.0,0.8485,1.7,0.7568
李若桃·手作酸奶铺(嘉兴海宁银泰城店),海宁银泰商圈,1.4,2.0,0.8091,1.62,0.7517
蜜雪冰城(银泰城负一楼店),海宁银泰商圈,2.5,2.0,0.7881,1.58,0.598
茉莉奶白(嘉兴海宁银泰城店),海宁银泰商圈,1.5,2.0,0.8522,1.7,0.7935
麦记牛奶(海宁银泰店),海宁银泰商圈,1.4,4.4,0.6043,2.66,0.5217
Tamkoko泰柯茶园(海宁银泰店),海宁银泰商圈,1.2,4.4,0.3547,1.56,0.3141
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),海宁银泰商圈,1.8,4.4,0.4513,1.99,0.3136
茶百道(海宁银泰百货店),海宁银泰商圈,1.8,2.8,0.8926,2.5,0.822
OT另茶(海宁银泰城店),海宁银泰商圈,1.4,4.4,0.3881,1.71,0.3118
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),海宁银泰商圈,1.4,4.4,0.4816,2.12,0.3988
茶理宜世(海宁银泰店),海宁银泰商圈,1.5,4.4,0.5621,2.47,0.4611
CHAGEE霸王茶姬(海宁银泰店),海宁银泰商圈,2.0,5.2,0.5795,3.01,0.4079
喜茶(海宁银泰城店),海宁银泰商圈,2.0,5.2,0.6176,3.21,0.4468
蜜雪冰城(银泰店),海宁银泰商圈,2.5,3.6,0.5179,1.86,0.3005
渝品燕鲜炖热饮,海宁银泰商圈,1.0,6.4,1.0,6.4,1.0
茶百道(华润店),海宁银泰商圈,1.8,5.6,1.0,5.6,1.0
LELECHA乐乐茶(嘉兴海宁映运汇店),海宁银泰商圈,1.6,3.2,1.0,3.2,1.0

"REF_DP(中位,品牌一致)",4.524086649113236
"REF_DP(中位,品牌盲)",3.658247550814999
"P_REF(中位,品牌一致)",0.6043
