名称,经度,纬度,外卖月售,品牌,吸引力系数,商圈,A_客群POI_API口径,B_商业POI_API口径,需求D_API口径,品牌系数S,S已覆盖,A_客群POI,B_商业POI,P_blind,P_brand,需求D,D×P_blind,D×P_brand,本地竞争密度,最近同类距离m
裕莲茶楼(杭州湖滨in77C3区店),120.164764,30.250927,4000,裕莲茶楼,,杭州湖滨in77,19,8,16.8,1.5,True,4,17,0.6345601460681388,0.7225799878000511,6.6000000000000005,4.188096964049716,4.7690279194803376,25,10.861592188425115
爷爷不泡茶NOYEYENOTEA(杭州湖滨in77店),120.163792,30.25501,20000,爷爷不泡茶,,杭州湖滨in77,5,14,6.8,2.0,True,11,16,0.16995612570411858,0.2905341866590653,12.0,2.039473508449423,3.4864102399087833,30,10.429315490862578
喜茶(杭州湖滨in77B区店),120.16373,30.255087,7000,喜茶,,杭州湖滨in77,5,17,7.4,2.0,True,10,16,0.22242255462226618,0.3639045333076265,11.2,2.491132611769381,4.075730773045417,30,10.429315490862578
闲吉·好茶自然香(杭州湖滨in77B区店),120.163869,30.255096,5000,闲吉,,杭州湖滨in77,6,16,8.0,1.1,True,11,16,0.18540026043360797,0.2002280531568297,12.0,2.2248031252032954,2.4027366378819566,30,12.089008166508945
裕莲茶楼(杭州湖滨in77B区店),120.163452,30.255186,5000,裕莲茶楼,,杭州湖滨in77,5,23,8.6,1.5,True,9,16,0.21269103252391083,0.288369721842237,10.4,2.211986738248673,2.999045107159265,29,28.881841548981274
沪上阿姨·精选茶饮(杭州工联CC店),120.164614,30.255089,4000,沪上阿姨,,杭州湖滨in77,4,8,4.8,1.8,True,12,16,0.2968360887664428,0.43177244478250587,12.8,3.799501936210468,5.526687293216075,30,16.74988723291444
LINLEE·手打柠檬茶(湖滨工联CC店),120.164598,30.255239,1500,LINLEE,,杭州湖滨in77,5,9,5.8,1.5,True,12,16,0.3118468278742334,0.40467234781421013,12.8,3.9916393967901875,5.17980605202189,29,12.473786111165738
CHAGEE霸王茶姬(上城工联CC店),120.164475,30.255275,6000,霸王茶姬,,杭州湖滨in77,5,9,5.8,2.0,True,13,16,0.30143712563317704,0.4632373238722869,13.600000000000001,4.099544908611208,6.300027604663103,29,12.473786111165738
本就茶饮,120.165293,30.250675,2000,个体/杂牌,,杭州湖滨in77,14,8,12.8,1.0,True,9,15,0.6860301659256901,0.6860301659256901,10.2,6.9975076924420385,6.9975076924420385,18,58.026414395547704
周四晚不止碰到茶(湖滨店),120.163177,30.255428,20000,周四晚,,杭州湖滨in77,5,34,10.8,1.6,True,10,16,0.27378344066615024,0.3762473316632987,11.2,3.0663745354608825,4.213970114628945,26,37.70642243016146
CoCo都可(工联CC店),120.16463,30.255643,1500,CoCo,,杭州湖滨in77,5,7,5.4,1.8,True,12,15,0.35686898835098935,0.4997017364892576,12.600000000000001,4.496549253222466,6.296241879764646,25,43.543817653190835
鲜榨果汁,120.161823,30.255562,1500,个体/杂牌,,杭州湖滨in77,7,27,11.0,1.0,True,9,14,0.4346755141402969,0.4346755141402969,10.0,4.346755141402969,4.346755141402969,26,111.74296457888165
蜜雪冰城(学士路店),120.164237,30.256396,2000,蜜雪冰城,,杭州湖滨in77,6,8,6.4,2.5,True,11,16,0.49863862042667145,0.7131730856990608,12.0,5.983663445120057,8.55807702838873,25,10.95788648594413
蜜雪冰城(西湖好吃街店),120.164225,30.256494,4000,蜜雪冰城,,杭州湖滨in77,8,10,8.4,2.5,True,11,16,0.27613528729770087,0.4881465051003653,12.0,3.3136234475724105,5.857758061204383,25,10.95788648594413
蜜雪冰城(杭州西湖风景名胜区-湖滨公园店),120.160474,30.249563,5000,蜜雪冰城,,杭州湖滨in77,5,15,7.0,2.5,True,1,8,0.9460811860355958,0.9777114098052961,2.4000000000000004,2.27059484648543,2.3465073835327113,10,196.57235607997177
喝喝茶,120.168682,30.253892,2000,个体/杂牌,,杭州湖滨in77,46,3,37.4,1.0,True,16,8,0.8314943831521072,0.8314943831521072,14.4,11.973519117390344,11.973519117390344,18,248.2333821888458
柠好鸭·手打柠檬茶(湖滨店),120.165085,30.257644,4000,柠好鸭,,杭州湖滨in77,28,7,23.8,1.2,True,11,11,0.6274458502119161,0.6689846870991621,11.0,6.901904352331077,7.358831558090784,21,152.23226326144325
蜜雪冰城(涌金广场店),120.165532,30.247484,5000,蜜雪冰城,,杭州湖滨in77,26,9,22.6,2.5,True,5,8,0.8987211836187343,0.9568674236812725,5.6,5.032838628264912,5.358457572615126,6,355.5649024678849
熹子茶馆(杭州湖滨店),120.159825,30.257375,1500,个体/杂牌,,杭州湖滨in77,22,15,20.6,1.0,True,8,10,0.6962996705478675,0.6962996705478675,8.4,5.848917232602087,5.848917232602087,16,183.83940152510928
蜜雪冰城(中山中路362号店),120.170353,30.252189,7000,蜜雪冰城,,杭州湖滨in77,10,6,9.2,2.5,True,13,0,1.0,1.0,10.4,10.4,10.4,2,36.81567142701365
沪上阿姨·精选茶饮(杭州中山中路店),120.170362,30.251858,4000,沪上阿姨,,杭州湖滨in77,10,5,9.0,1.8,True,13,1,0.9913732418666924,0.9951889103228279,10.6,10.508556363786939,10.549002449421975,2,36.81567142701365
悦小颜鲜竹奶茶店,120.15931,30.248109,1500,个体/杂牌,,杭州湖滨in77,18,7,15.8,1.0,True,1,1,0.9453719080499956,0.9453719080499956,1.0,0.9453719080499956,0.9453719080499956,1,196.57235607997177
手打柠檬茶,120.157925,30.257175,2000,个体/杂牌,,杭州湖滨in77,5,17,7.4,1.0,True,2,1,0.9106034508538913,0.9106034508538913,1.8,1.6390862115370044,1.6390862115370044,2,183.83940152510928
angtea艾熟茶(杭州嘉里中心店),120.162458,30.25981,1300,angtea艾熟茶,,杭州湖滨in77,20,18,19.6,1.2,True,11,6,0.6735296460076792,0.7122863769452145,10.0,6.735296460076792,7.122863769452144,6,348.81096674710307
柠檬向右(杭州湖滨88店)(暂停营业),120.162372,30.254676,2000,个体/杂牌,,杭州湖滨in77,5,42,12.4,1.0,True,9,16,0.3145791986311885,0.3145791986311885,10.4,3.2716236657643605,3.2716236657643605,29,46.44758144211733
CoCo都可(海宁银泰店),120.693947,30.50045,1500,CoCo,,海宁银泰商圈,3,30,8.4,1.8,True,6,2,0.47471010854199197,0.6192911718494033,5.200000000000001,2.4684925644183586,3.220314093616898,14,4.801969095126282
李若桃·手作酸奶铺(嘉兴海宁银泰城店),120.693994,30.500465,3200,李若桃,,海宁银泰商圈,3,31,8.6,1.4,True,6,2,0.489046146572589,0.5726447264679236,5.200000000000001,2.5430399621774633,2.9777525776332037,14,4.801969095126282
蜜雪冰城(银泰城负一楼店),120.694125,30.500175,2700,蜜雪冰城,,海宁银泰商圈,3,31,8.6,2.5,True,5,2,0.4404665592597679,0.6630737068570215,4.4,1.938052860742979,2.917524310170895,14,34.602947360098746
茉莉奶白(嘉兴海宁银泰城店),120.693373,30.500435,4000,茉莉奶白,,海宁银泰商圈,3,30,8.4,1.5,True,6,2,0.3995052003110868,0.4994844773738675,5.200000000000001,2.077427041617652,2.5973192823441114,14,27.930607772379737
麦记牛奶(海宁银泰店),120.693426,30.500188,4000,麦记牛奶,,海宁银泰商圈,3,28,8.0,1.4,True,5,2,0.3958916578623605,0.4784781221895143,4.4,1.7419232945943866,2.105303737633863,14,10.615960072759824
Tamkoko泰柯茶园(海宁银泰店),120.693437,30.500093,2600,Tamkoko泰柯茶园,,海宁银泰商圈,3,28,8.0,1.2,True,5,2,0.2549535548174381,0.2911008276185939,4.4,1.1217956411967276,1.2808436415218132,14,10.615960072759824
沪上阿姨·精选茶饮(嘉兴海宁海昌路银泰店),120.693275,30.500125,3000,沪上阿姨,,海宁银泰商圈,3,28,8.0,1.8,True,5,2,0.3047617850499786,0.44104120834202853,4.4,1.340951854219906,1.9405813167049257,14,2.844648152867051
茶百道(海宁银泰百货店),120.693825,30.499775,2500,茶百道,,海宁银泰商圈,3,25,7.4,1.8,True,6,2,0.4197785595375686,0.5656449195401702,5.200000000000001,2.1828485095953574,2.9413535816088854,14,51.305192316168984
OT另茶(海宁银泰城店),120.693262,30.500102,1400,OT另茶,,海宁银泰商圈,3,28,8.0,1.4,True,5,2,0.30686782839585736,0.38264623240180135,4.4,1.3502184449417725,1.683643422567926,14,2.844648152867051
煲珠公·老红糖珍珠奶茶(海宁银泰百货店),120.693211,30.499867,1300,煲珠公,,海宁银泰商圈,3,26,7.6,1.4,True,6,2,0.3288379270208207,0.40685708204745846,5.200000000000001,1.709957220508268,2.1156568266467843,14,26.583727068876588
茶理宜世(海宁银泰店),120.693575,30.499325,1400,茶理宜世,,海宁银泰商圈,3,23,7.0,1.5,True,6,2,0.31391445590754463,0.40699143622976797,5.200000000000001,1.6323551707192325,2.116355468394794,13,55.475095407210276
CHAGEE霸王茶姬(海宁银泰店),120.692876,30.499485,6000,霸王茶姬,,海宁银泰商圈,3,25,7.4,2.0,True,6,2,0.4258831575934967,0.5973605275095216,5.200000000000001,2.2145924194861832,3.106274743049513,13,6.167984174371956
喜茶(海宁银泰城店),120.692812,30.499479,5000,喜茶,,海宁银泰商圈,3,25,7.4,2.0,True,6,2,0.4459505764264018,0.6168268593640973,5.200000000000001,2.31894299741729,3.207499668693307,13,6.167984174371956
蜜雪冰城(银泰店),120.694149,30.498543,2800,蜜雪冰城,,海宁银泰商圈,3,23,7.0,2.5,True,6,2,0.2878951696639169,0.5026654790827211,5.200000000000001,1.497054882252368,2.61386049123015,13,102.88589193556925
渝品燕鲜炖热饮,120.696101,30.503608,900,个体/杂牌,,海宁银泰商圈,3,31,8.6,1.0,True,2,1,0.9625833518220283,0.9625833518220283,1.8,1.7326500332796508,1.7326500332796508,10,403.59591069612117
茶百道(华润店),120.69252,30.51008,1400,茶百道,,海宁银泰商圈,7,3,6.2,1.8,True,1,0,1.0,1.0,0.8,0.8,0.8,1,190.23651479565828
LELECHA乐乐茶(嘉兴海宁映运汇店),120.692127,30.511757,1500,乐乐茶,,海宁银泰商圈,4,3,3.8,1.6,True,1,0,1.0,1.0,0.8,0.8,0.8,1,190.23651479565828
